comparison,model_key,feature,metric_label,metric_key,reference_metric,n_points,rho_plot,p_plot,mean_path,reference_path
BERT: MEAN vs FIRST,bert,pos,IsoScore,iso,iso,169,0.9805753070458955,4.5498714655249355e-120,plots_extra/metrics/features/pos/mean/bert/tables/iso_bert_pos.csv,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,pos,LID,lpca99,lpca99,169,0.99849521713998,1.6533058152659587e-212,plots_extra/metrics/features/pos/mean/bert/tables/lpca99_bert_pos.csv,bert/tables_POS/pos_bootstrap/pos_raw_lpca99_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,pos,NLID,gride,gride,169,0.9712968027447666,4.481229769754561e-106,plots_extra/metrics/features/pos/mean/bert/tables/gride_bert_pos.csv,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,length,IsoScore,iso,iso,130,0.9035901077441997,5.851267886010095e-49,plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,length,LID,lpca99,lpca99,130,0.9990713934597814,1.1018610785341844e-176,plots_extra/metrics/features/length/mean/bert/tables/lpca99_bert_length.csv,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,length,NLID,gride,gride,130,0.725092517991506,1.770364334117096e-22,plots_extra/metrics/features/length/mean/bert/tables/gride_bert_length.csv,bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,index,IsoScore,iso,iso,130,0.8780373895587813,8.680951587623519e-43,plots_extra/metrics/features/index/mean/bert/tables/iso_bert_index.csv,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,index,LID,lpca99,lpca99,130,0.9929751248607658,1.5976890813220896e-120,plots_extra/metrics/features/index/mean/bert/tables/lpca99_bert_index.csv,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,index,NLID,gride,gride,130,0.9813953488372094,1.3105270996752935e-93,plots_extra/metrics/features/index/mean/bert/tables/gride_bert_index.csv,bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,relation_type,IsoScore,iso,iso,130,0.9379098444605277,1.0415359039609075e-60,plots_extra/metrics/features/relations/mean/bert/tables/iso_bert_relation.csv,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,relation_type,LID,lpca99,lpca99,130,0.9984691460609838,8.48279533598593e-163,plots_extra/metrics/features/relations/mean/bert/tables/lpca99_bert_relation.csv,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,relation_type,NLID,gride,gride,130,0.9365715768343142,3.9065849035651875e-60,plots_extra/metrics/features/relations/mean/bert/tables/gride_bert_relation.csv,bert/tables_REL/relation_bootstrap/relation_raw_gride_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,arity,IsoScore,iso,iso,65,0.9461101398601398,1.4964809426692933e-32,plots_extra/metrics/features/arity/mean/bert/tables/iso_bert_arity.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,arity,LID,lpca99,pca99,65,0.9693267623757947,4.145585728804912e-40,plots_extra/metrics/features/arity/mean/bert/tables/lpca99_bert_arity.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv
BERT: MEAN vs FIRST,bert,arity,NLID,gride,gride,65,0.8401223776223776,2.164930641543237e-18,plots_extra/metrics/features/arity/mean/bert/tables/gride_bert_arity.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv
GPT-2: MEAN vs LAST,gpt2,pos,IsoScore,iso,iso,169,0.9993063497588386,1.408931987606585e-240,plots_extra/metrics/features/pos/mean/gpt2/tables/iso_gpt2_pos.csv,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,pos,LID,lpca99,lpca99,169,0.9770977621434433,3.6985230748178025e-114,plots_extra/metrics/features/pos/mean/gpt2/tables/lpca99_gpt2_pos.csv,bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,pos,NLID,gride,gride,169,0.7047536174233008,1.1053143913097959e-26,plots_extra/metrics/features/pos/mean/gpt2/tables/gride_gpt2_pos.csv,bert/tables_POS/pos_bootstrap/pos_raw_gride_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,length,IsoScore,iso,iso,130,0.9985415614032692,3.824690335531534e-164,plots_extra/metrics/features/length/mean/gpt2/tables/iso_gpt2_length.csv,gpt2/tables_LENGTH/length_bootstrap/length_raw_iso_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,length,LID,lpca99,lpca99,130,0.9966540282387745,4.3423589846860375e-141,plots_extra/metrics/features/length/mean/gpt2/tables/lpca99_gpt2_length.csv,gpt2/tables_LENGTH/length_bootstrap/length_raw_lpca99_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,length,NLID,gride,gride,130,0.8313782790970788,1.8470084264914452e-34,plots_extra/metrics/features/length/mean/gpt2/tables/gride_gpt2_length.csv,gpt2/tables_LENGTH/length_bootstrap/length_raw_gride_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,index,IsoScore,iso,iso,130,0.9679252755056057,1.1814046927181515e-78,plots_extra/metrics/features/index/mean/gpt2/tables/iso_gpt2_index.csv,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,index,LID,lpca99,lpca99,130,0.9976203356454196,1.5077855344252187e-150,plots_extra/metrics/features/index/mean/gpt2/tables/lpca99_gpt2_index.csv,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,index,NLID,gride,gride,130,0.9582890546304966,1.7450616492385301e-71,plots_extra/metrics/features/index/mean/gpt2/tables/gride_gpt2_index.csv,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,relation_type,IsoScore,iso,iso,130,0.06759343975747313,0.4447988026348705,plots_extra/metrics/features/relations/mean/gpt2/tables/iso_gpt2_relation.csv,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,relation_type,LID,lpca99,lpca99,130,0.2576898930296037,0.0030774209905819064,plots_extra/metrics/features/relations/mean/gpt2/tables/lpca99_gpt2_relation.csv,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,relation_type,NLID,gride,gride,130,0.8364691583935326,3.082807109933465e-35,plots_extra/metrics/features/relations/mean/gpt2/tables/gride_gpt2_relation.csv,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_gride_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,arity,IsoScore,iso,iso,65,0.9994318181818181,1.7607371637931358e-94,plots_extra/metrics/features/arity/mean/gpt2/tables/iso_gpt2_arity.csv,gpt2/tables_ARITY/arity_bootstrap/arity_raw_iso_gpt2.csv
GPT-2: MEAN vs LAST,gpt2,arity,LID,lpca99,pca99,65,0.9968801655751588,3.373598808341458e-71,plots_extra/metrics/features/arity/mean/gpt2/tables/lpca99_gpt2_arity.csv,gpt2/tables_ARITY/arity_bootstrap/arity_raw_pca99_gpt2.csv
